Project Name,Country,Country Full Name,Region,Date Online,Status,Technology Category,Production Technology,Carbon Capture,Type of Electricity Used for Production,Hydrogen Product,End Use,IEA zero-carbon estimated normalized capacity,Electricty Used Color(Feedstock),Latitude,Longitude
"Windgas Haurup, 2nd phase",DEU,Germany,Europe,2021,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Onshore wind,H2,Power,192.31,Pink - Nuclear,51.165691,10.451526
Parnu refuelling station,EST,Estonia,Europe,2019,Operational,Electrolysis,Alkaline Electrolysis,No,Other,H2,Transportation,200,Green - Renewables,58.595272,25.013607
"H2Nodes, Parnu",EST,Estonia,Europe,2019,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Transportation,185,Pink - Nuclear,58.595272,25.013607
"H2Nodes, Riga",EST,Estonia,Europe,2019,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Transportation,140,Pink - Nuclear,58.595272,25.013607
SMT-AG Artois-Gohelle,FRA,France,Europe,2019,Operational,Electrolysis,Alkaline Electrolysis,No,Other,H2,Transportation,108.7,Green - Renewables,46.227638,2.213749
HyDeploy,GBR,United Kingdom,Europe,2019,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Grid Injection,96.15,Pink - Nuclear,55.378051,-3.435973
Quebec Great Toronto Area East,CAN,Canada,North America,2019,Operational,Electrolysis,Alkaline Electrolysis,No,Other,H2,Transportation,100,Green - Renewables,56.130366,-106.346771
Pau bus station HRS,FRA,France,Europe,2019,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Transportation,96.15,Pink - Nuclear,46.227638,2.213749
"Solothurn, STORE&GO",CHE,Switzerland,Europe,2019,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,CH4,CH4 Grid Injection,67.31,Pink - Nuclear,46.818188,8.227512
Sarawak Energy,MYS,Malaysia,Asia and Pacific,2019,Operational,Electrolysis,Alkaline Electrolysis,No,Other,H2,Transportation,60,Green - Renewables,4.210484,101.975766
Vårgårda Bostäder housing complex,SWE,Sweden,Europe,2019,Operational,Electrolysis,Alkaline Electrolysis,No,Solar PV,H2,Grid Injection,60,Green - Renewables,60.128161,18.643501
SoCalGas-NREL,USA,United States,North America,2019,Operational,Electrolysis,Unknown PtX,No,Other,CH4,CH4 Grid Injection,55.56,Green - Renewables,37.09024,-95.712891
Stromlückenfüller 2nd phase,DEU,Germany,Europe,2019,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Grid Injection,38.46,Pink - Nuclear,51.165691,10.451526
ATCO clean energy innovation hub,AUS,Australia,Asia and Pacific,2019,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Domestic Heat,28.85,Pink - Nuclear,-25.274398,133.775136
Tauron CO2-SNG,POL,Poland,Europe,2019,Operational,Electrolysis,Unknown PtX,No,Other,CH4,CH4 Grid Injection,18,Green - Renewables,51.919438,19.145136
Methane Synthesis test facility in Koshijihara Plant of INPEX’s - Nagaoa,JPN,Japan,Asia and Pacific,2019,DEMO,Electrolysis,Unknown PtX,No,Other,H2,Methanol,,Green - Renewables,36.204824,138.252924
